GNMUID	Genome ID	Completeness	Contamination	Genome size (bp)	estimated size
GNM900302445	Palleronia abyssalis CECT 8504	99.29	0.82	4404602	4399762 
GNM013034915	HKCCA5663	99.57	0.08	4386007	4401412 
GNM016757095	Rhodovulum sulfidophilum AB33	99.29	1.21	4424419	4402407 
GNM013032575	HKCCD6168	99.47	0	4380333	4403672 
GNM021568715	Rhodovulum sulfidophilum  strain=AB33	99.29	1.21	4429719	4407681 
GNM900142185	Lutimaribacter pacificus DSM 29620	99.69	0.61	4422352	4409125 
GNM001634725	Sulfitobacter sp. HI0021	99.39	1.81	4462051	4409141 
GNM013031485	HKCCD8719	99.25	0	4376181	4409250 
GNM013108145	HKCCD8801	99.64	1.58	4463883	4410080 
GNM900115865	Donghicola eburneus DSM 29127	99.69	0.66	4426466	4411027 
GNM009363735	Roseovarius sp. THAF8	99.45	1.48	4452662	4411634 
GNM000814025	Tateyamaria sp. ANG-S1	99.39	0.92	4425579	4411902 
GNM011044155	Halovulum dunhuangense RR4-56	99.1	0	4373045	4412760 
GNM002869745	Kandeliimicrobium roseum XY-R6	99.69	0.2	4408274	4413128 
GNM000018145	Dinoroseobacter shibae DFL-12	99.69	0.41	4417868	4413455 
GNM013034815	HKCCC1157	99.25	0.64	4409710	4414566 
GNM003443535	Ruegeria sp. AD91A	99.69	0.05	4405563	4417047 
GNM001559785	Phaeobacter inhibens S4Sm	99.69	0	4403494	4417187 
GNM2802428856	Rhodovulum visakhapatnamense DSM 17937	99.29	0.98	4429538	4417610 
GNM003053725	Rhodovulum kholense DSM 19783	99.69	1.22	4458411	4418205 
GNM013031375	HKCCD9147	99.57	0.11	4404217	4418356 
GNM013035315	HKCCA4777	99.25	0	4386499	4419646 
GNM009129705	Roseobacter sp. TSBP12	99.08	0.31	4393065	4420027 
GNM020629115	Rhodobacteraceae bacterium MAG-169	96.07	1.24	4303423	4422385 
GNM013035045	HKCCA6269	99.25	0	4389534	4422704 
GNM013034425	HKCCA4692	99.47	0	4399533	4422975 
GNM013032635	HKCCD7099	99.25	0.11	4394719	4423026 
GNM013032005	HKCCD9150	99.47	0	4399747	4423190 
GNM2608642201	Rhodobacteraceae bacterium bin09	92.28	2.43	4189414	4423413 
GNM013032035	HKCCD9111	99.47	0	4401315	4424766 
GNM011813015	Sedimentitalea sp. CY04	99.89	0.36	4438236	4427168 
GNM900176485	Pseudooceanicola flagellatus CGMCC 1.12644	99.69	0	4414152	4427878 
GNM900103905	Lutimaribacter pacificus CGMCC 1.10970	99.69	0.61	4441664	4428379 
GNM013035395	HKCCC1250	98.19	0.11	4353693	4428986 
GNM900176475	Tropicibacter naphthalenivorans DSM 19561	100	0.46	4449490	4429116 
GNM013031795	HKCCD6234	99.57	0	4410459	4429506 
GNM013031435	HKCCD7560	99.25	0	4399270	4432514 
GNM013031785	HKCCD6251	99.25	0	4400261	4433512 
GNM002917925	Roseovarius confluentis SAG6	99.69	0.92	4461509	4434459 
GNM013035745	HKCCA5471	99.25	0	4402077	4435342 
GNM016757055	Rhodovulum sulfidophilum AB23	99.22	1.21	4454817	4435743 
GNM013035005	HKCCA4756	99.57	1.06	4465129	4437175 
GNM009811755	Roseobacter sp. AI77	99.57	1.18	4472075	4438784 
GNM013031595	HKCCD7225	99.25	0	4405520	4438811 
GNM001458375	Tropicibacter naphthalenivorans CECT 7648	100	0.46	4459382	4438963 
GNM900156805	Roseivivax lentus DSM 29430	100	0	4439333	4439333 
GNM022763305	Marivita sp. HH_bin14	99.1	0.6	4426255	4439574 
GNM017744095	Shimia sp. R10_1	98.08	0.32	4368618	4439652 
GNM002079305	Rhodovulum sp. P5	99.69	1.07	4473545	4439803 
GNM000152725	Pseudooceanicola batsensis HTCC2597	99.69	0.31	4440389	4440389 
GNM013035705	HKCCA5471-2	99.25	0	4407728	4441036 
GNM017743775	Shimia sp. R9_1	99.09	0.7	4432319	4441646 
GNM013034755	HKCCC1212	99.57	0.75	4456135	4441921 
GNM900102315	Celeribacter baekdonensis DSM 27375	99.69	0.31	4442624	4442624 
GNM021409205	Rhodovulum sulfidophilum  strain=AB17	97.5	4.32	4527006	4446087 
GNM013035915	HKCCA4776	99.25	0.16	4420218	4446452 
GNM013034465	HKCCC2112	99.25	0.68	4443531	4446644 
GNM017795125	Pseudooceanicola atlanticus ih10	99.65	2.31	4533993	4446835 
GNM013031105	HKCCD4580	99.25	0	4413734	4447087 
GNM013035485	HKCCA6308	98.19	0.91	4408995	4449036 
GNM000521785	Roseivivax halodurans JCM 10272	99.39	1.58	4492810	4449648 
GNM013034675	HKCCC1285	99.25	0.4	4435436	4451015 
GNM013034605	HKCCA4633	99.57	0	4432840	4451984 
GNM001458275	Thalassobius autumnalis 5120	99.39	0	4426121	4453286 
GNM009363655	Roseovarius sp. THAF27	99.15	1	4461527	4454845 
GNM022321465	Ruegeria sp. 1NDH52C  strain=1NDH52C	99.68	0.32	4455020	4455020 
GNM002891945	Phaeobacter inhibens P72	99.39	0	4429187	4456371 
GNM003318255	Ruegeria sp. A3M17	99.39	0.31	4443289	4456659 
GNM021405405	Ruegeria pomeroyi  strain=HKCCSP003	99.68	0	4442674	4456936 
GNM015665415	Roseobacter sp. C15_61_62_6	99.65	0.71	4474503	4458453 
GNM003575965	Pseudopuniceibacterium sediminis CY03	99.39	0.31	4445201	4458577 
GNM013034975	HKCCA5416	99.57	0.43	4458947	4458947 
GNM013033765	HKCCC2122	99.57	0	4440835	4460013 
GNM003149565	Marivita sp. XM-24bin2	98.14	1.22	4431730	4460276 
GNM013033235	HKCCA0235A	99.25	0.37	4443882	4460833 
GNM011040495	Pseudohalocynthiibacter aestuariivivens RR4-35	99.9	2.26	4557782	4461415 
GNM013033635	HKCCA6259	98.51	0	4397105	4463613 
GNM014643635	Paraphaeobacter pallidus CGMCC 1.15762	98.64	0.9	4443326	4463860 
GNM021409265	Rhodovulum sulfidophilum  strain=AB15	98.61	2.97	4536182	4465625 
GNM016812285	Ponticoccus sp. SC6-69	99.29	1.36	4494988	4465959 
GNM013031695	HKCCD7171	99.57	0	4446766	4465970 
GNM008369105	Aquicoccus porphyridii L1 8-17	99.69	1.38	4513837	4466050 
GNM013033705	HKCCA0370	99.47	0.32	4457558	4466939 
GNM015689685	HKCCE2091	98.64	0.77	4443497	4469869 
GNM013034245	HKCCA4812	99.15	0.32	4449000	4472705 
GNM013034665	HKCCC1588	99.57	0.32	4469485	4474407 
GNM018860895	Epibacterium mobile A3R06	99.65	0.18	4467294	4474901 
GNM020628545	Rhodobacteraceae bacterium MAG-191	95.32	1.67	4340425	4475126 
GNM003265325	Oceanibium sediminis O448	99.39	0.51	4470827	4475302 
GNM013110795	HKCCD6109	99.25	0.68	4472332	4475465 
GNM003047105	Celeribacter baekdonensis LH4	98.52	0.61	4437368	4476312 
GNM002381305	Phaeobacter gallaeciensis P11	99.69	0	4463194	4477073 
GNM019802125	Tateyamaria omphalii  strain=DP5N21-5	99.25	0.92	4487944	4480327 
GNM013110645	HKCCD6238	99.15	0.32	4459210	4482970 
GNM900143535	Tateyamaria sp. Alg231-49	99.69	0.82	4506054	4483190 
GNM2828508468	Roseovarius sp. M141	99.55	1.16	4515828	4483992 
GNM001238295	Ruegeria sp. 6PALISEP08	99.39	0.1	4463206	4486085 
GNM017743735	Shimia sp. R9_2	99.31	0.38	4473125	4487035 
GNM016521575	Rhodobacteraceae bacterium F11138 F11138	99.25	0.64	4482587	4487523 
GNM003340565	Rhodovulum sp. 12E13	100	0.92	4529615	4488322 
GNM009811795	Litoreibacter sp. K6	99.39	0.21	4471068	4489024 
GNM011393045	Epibacterium mobile PrR008	99.47	0.18	4473744	4489457 
GNM017643905	Marivita sp. HCUG1433-5	98.29	0.62	4441742	4490691 
GNM013110595	HKCCD6428	99.57	0.64	4502468	4493033 
GNM013034945	HKCCA4796	99.57	0.11	4478826	4493204 
GNM013032235	HKCCD7301	99.57	0.64	4503523	4494085 
GNM013031475	HKCCD7299	99.25	0	4460590	4494297 
GNM013035805	HKCCA4945	98.51	0	4432135	4499173 
GNM000192475	Ruegeria conchae TW15	99.39	0.36	4490413	4501667 
GNM016812595	Ponticoccus sp. SC6-18	99.25	1.36	4531141	4503669 
GNM003265965	Rhodovulum viride JA756	99.69	1.22	4546384	4505385 
GNM002892125	Phaeobacter inhibens P70	99.39	0	4479933	4507428 
GNM002892025	Phaeobacter inhibens P92	99.39	0	4479935	4507430 
GNM2724679805	Shimia sagamensis DSM 29734	99.36	0.38	4496706	4508428 
GNM003253995	Hwanghaeicola aestuarii DSM 22009	99.39	1.43	4545653	4508682 
GNM002892045	Phaeobacter inhibens P74	99.39	0	4481611	4509117 
GNM013034905	HKCCA5649	99.57	0.32	4505109	4510070 
GNM011393015	Epibacterium mobile PrR010	99.47	0.18	4495485	4511274 
GNM022788655	Sulfitobacter indolifex  strain=DSM 14862	99.68	0	4498570	4513012 
GNM2693429867	Maritimibacter alkaliphilus DSM 100037	99.7	0.3	4513870	4513870 
GNM003664205	Ruegeria conchae DSM 29317	99.39	0.36	4504665	4515955 
GNM000158135	Rhodobacteraceae bacterium KLH11	99.24	0.08	4487498	4518222 
GNM013110675	HKCCD6228	99.52	0.32	4511839	4519070 
GNM000156335	Roseobacter sp. GAI101	99.69	0.48	4527951	4520267 
GNM900115595	Tranquillimonas alkanivorans DSM 19547	100	0.5	4543020	4520418 
GNM013033725	HKCCC1165	99.57	0.43	4521251	4521251 
GNM013035325	HKCCC2136	99.25	0	4487492	4521403 
GNM013110635	HKCCD6604	99.25	0.32	4502467	4521911 
GNM013373735	Ruegeria pomeroyi HF-Dia28	97.56	2.18	4511740	4523501 
GNM002786295	Pseudooceanicola marinus LMG 23705	99.39	0	4496514	4524111 
GNM2734482173	Ruegeria conchae DSM 29317	99.57	0	4504665	4524119 
GNM021405525	Ruegeria pomeroyi  strain=SZCCDBG043	99.68	0	4510008	4524486 
GNM007995245	Tateyamaria sp. syn59	99.57	1.47	4572116	4525055 
GNM016757115	Rhodovulum sulfidophilum AB22	98.99	1.99	4569598	4525251 
GNM013031565	HKCCD7255	99.57	0.43	4525383	4525383 
GNM013033345	HKCCA6553	99.25	0.11	4496853	4525818 
GNM009363715	Roseovarius sp. THAF9	99.45	1.31	4560251	4525855 
GNM900142665	Roseovarius pacificus DSM 29589	99.69	0.76	4547027	4526657 
GNM013032725	HKCCD6567	99.57	0.64	4536259	4526753 
GNM008692315	Salipiger aestuarii 329	99.39	0.31	4515954	4529543 
GNM013035475	HKCCC1038	99.57	0.32	4524955	4529938 
GNM021405485	Ruegeria pomeroyi  strain=SZCCDBG002	99.68	0	4516351	4530850 
GNM013030185	HKCCD7214	99.25	0.11	4501859	4530856 
GNM013034845	HKCCA5738	99.25	0	4497111	4531094 
GNM016774595	Maritimibacter sp. EB-1	99.7	0.61	4548347	4534291 
GNM023558335	Dinoroseobacter shibae  strain=DSM 112351	99.09	0.56	4519927	4535802 
GNM003201555	Ruegeria sp. P4	99.39	0.46	4529015	4535819 
GNM900313025	Pseudophaeobacter sp. EL27	99.69	0.61	4551713	4538099 
GNM900143615	Rhodobacteraceae bacterium Alg231-30	99.69	0.31	4538961	4538961 
GNM000511385	Phaeobacter gallaeciensis DSM 26640	99.69	0.31	4540155	4540155 
GNM002381325	Phaeobacter gallaeciensis P73	99.69	0.31	4541872	4541872 
GNM013035825	HKCCA5014	99.57	0.32	4537359	4542356 
GNM023558355	Dinoroseobacter shibae  strain=DFL-36	99.09	0.56	4526465	4542363 
GNM013033515	HKCCA6707	99.57	0.32	4541872	4546874 
GNM021405545	Ruegeria pomeroyi  strain=SZCCDBF007	99.68	0.06	4535202	4547024 
GNM900172385	Pseudooceanicola marinus CECT 7751	99.69	0	4533138	4547234 
GNM020216085	Tritonibacter mobilis  strain=TN7-3	99.12	0.29	4522586	4549428 
GNM000814005	Ruegeria sp. ANG-S4	99.69	0.06	4538199	4549573 
GNM014645335	Roseovarius pacificus CGMCC 1.7083	99.25	0.88	4557337	4551420 
GNM017743915	Sulfitobacter sp. R18_1	99.13	4.08	4697564	4551462 
GNM013034855	HKCCA5755	99.25	0.32	4532585	4552159 
GNM000813905	Leisingera sp. ANG-M6	99.69	0	4542505	4556631 
GNM000152805	Maritimibacter alkaliphilus HTCC2654	98.93	0.61	4536113	4557076 
GNM900172215	Ruegeria meonggei CECT 8411	99.69	0	4543068	4557195 
GNM013035865	HKCCA4852	99.25	0.87	4563620	4558150 
GNM017916275	Rubellimicrobium sp. SYSU D00782 SYSU D00782	98.84	1	4552337	4559632 
GNM006226775	Rhodobacteraceae bacterium M0601	98.47	2	4581071	4559641 
GNM900112685	Roseivivax sediminis DSM 26472	99.9	1.53	4626107	4560886 
GNM016812665	Ponticoccus sp. SC6-15	99.29	1.36	4591086	4561437 
GNM020177265	Pseudooceanicola marinus  strain=SY-2-17	99.1	0.6	4547987	4561672 
GNM001482405	Ponticoccus marisrubri SJ5A-1	99.69	0.31	4562553	4562553 
GNM000169455	Roseobacter sp. SK209-2-6	99.69	0.15	4555826	4563127 
GNM017916295	Rubellimicrobium sp. SYSU D00286 SYSU D00286	98.84	1	4556822	4564125 
GNM013110805	HKCCD5851	99.57	0	4544973	4564601 
GNM001441615	Roseovarius atlanticus R12b	99.69	0.61	4578348	4564654 
GNM001650845	Jannaschia sp. EhC01	99.39	0.92	4579986	4565832 
GNM013032825	HKCCD7052	99.79	0	4557806	4567398 
GNM013373705	Ruegeria pomeroyi HF-Din03	98.72	0.66	4541830	4570165 
GNM017872495	HKCCE4148	99.57	0	4552578	4572239 
GNM013032145	HKCCD8755	99.79	0	4563248	4572851 
GNM001458395	Leisingera aquaemixtae CECT 8399	99.92	0.92	4614060	4575625 
GNM002072155	Roseovarius sp. A-2	99.39	0.76	4584578	4577711 
GNM003390845	Tropicimonas sp. IMCC34043	99.69	0.92	4606852	4578921 
GNM023502395	Ruegeria sp. 2012CJ41-6  strain=2012CJ41-6	99.25	0.96	4589625	4580007 
GNM004000435	Ponticoccus sp. LZ-14	99.08	1.68	4615538	4580724 
GNM013034955	HKCCA5019	99.25	0.93	4589347	4581101 
GNM001626765	Maritimibacter sp. REDSEA-S28_B5	92.05	0.61	4245292	4581580 
GNM013030345	HKCCD9169	99.89	0.48	4599474	4582519 
GNM003254465	Rhodobacteraceae bacterium LMIT002	100	0.31	4597081	4582874 
GNM000826845	Phaeobacter sp. S60	99.39	0.31	4569459	4583209 
GNM019801845		99.18	0.55	4572997	4585378 
GNM020529025	Oceaniglobus trochenteri  strain=G4	99.29	0.76	4588933	4586640 
GNM013035435	HKCCC1088	99.25	0	4557215	4591652 
GNM013110775	HKCCD7296	99.57	0	4571985	4591729 
GNM013030195	HKCCD9012	99.57	0	4572789	4592537 
GNM013110715	HKCCD7319	99.57	0	4573513	4593264 
GNM000203975	Leisingera sp. ANG1	99.69	0.15	4587644	4594996 
GNM013110825	HKCCD5849	99.57	0	4576122	4595884 
GNM013031145	HKCCD4579	99.25	0	4561888	4596361 
GNM000813965	Leisingera sp. ANG-M7	99.69	0	4582254	4596503 
GNM013030225	HKCCD6438	99.57	0.11	4581848	4596557 
GNM013033625	HKCCA0468	99.57	0	4577054	4596820 
GNM013034175	HKCCA5463	99.52	0.32	4592887	4600247 
GNM016812635	Ponticoccus sp. SC6-32	99.29	1.36	4630448	4600544 
GNM000011965	Ruegeria pomeroyi DSS-3	99.69	0.31	4601048	4601048 
GNM000520615	Roseivivax marinus 22II-s10s	99.69	1.12	4638882	4601609 
GNM013110705	HKCCD6181	99.47	0.32	4593562	4603229 
GNM000813885	Leisingera sp. ANG-S	99.08	0.15	4572103	4607581 
GNM016812515	Ponticoccus sp. SC6-42	99.29	1.36	4638418	4608463 
GNM013035585	HKCCA5839	99.57	0.43	4608917	4608917 
GNM002381285	Phaeobacter gallaeciensis P75	99.69	0	4595280	4609570 
GNM002393525	Phaeobacter gallaeciensis P63	99.69	0.31	4610090	4610090 
GNM002115725	Marivita cryptomonadis CL-SK44	99.69	0.31	4610381	4610381 
GNM000813945	Leisingera sp. ANG-S3	99.69	0	4596525	4610819 
GNM006152115	Rubellimicrobium rubrum YIM 131921	99.24	0.86	4615821	4611210 
GNM000813785	Leisingera sp. ANG-DT	99.62	0	4595988	4613519 
GNM900188035	Puniceibacterium sediminis DSM 29052	99.69	0.92	4642053	4613908 
GNM020906075	Pseudosulfitobacter pseudonitzschiae  strain=SC1-30	99.36	0.02	4585946	4614556 
GNM016812495	Ponticoccus sp. SC6-45	99.29	1.36	4645984	4615980 
GNM014638275	Pseudooceanicola flagellatus CGMCC 1.12664	99.1	0.8	4612182	4616799 
GNM016757045	Rhodovulum sulfidophilum AB35	98.99	1.52	4642509	4618952 
GNM022410435	Roseivivax marinus  strain=TCYB24	98.12	1.54	4603694	4619400 
GNM016812935	Ponticoccus sp. SC2-24	99.29	1.36	4650688	4620654 
GNM016812735	Ponticoccus sp. SC2-67	99.29	1.36	4650925	4620889 
GNM016812715	Ponticoccus sp. SC2-95	99.29	1.36	4651043	4621006 
GNM016812655	Ponticoccus sp. SC6-11	99.29	1.36	4651679	4621638 
GNM016812895	Ponticoccus sp. SC2-23	99.29	1.36	4652189	4622145 
GNM016812775	Ponticoccus sp. SC2-56	99.29	1.36	4652272	4622228 
GNM016812275	Ponticoccus sp. SC6-9	99.29	1.36	4652285	4622240 
GNM016812755	Ponticoccus sp. SC2-60	99.29	1.36	4652666	4622619 
GNM016812975	Ponticoccus sp. SC2-22	99.29	1.36	4652699	4622652 
GNM016812875	Ponticoccus sp. SC2-36	99.29	1.36	4652886	4622838 
GNM016812955	Ponticoccus sp. SC2-20	99.29	1.36	4652995	4622946 
GNM016812815	Ponticoccus sp. SC2-37	99.29	1.36	4652999	4622950 
GNM013034745	HKCCC1251	99.25	0.11	4593455	4623042 
GNM016812915	Ponticoccus sp. SC2-30	99.29	1.36	4653152	4623102 
GNM016812825	Ponticoccus sp. SC2-58	99.29	1.36	4653226	4623175 
GNM016812795	Ponticoccus sp. SC2-64	99.29	1.36	4653286	4623235 
GNM016812855	Ponticoccus sp. SC2-35	99.29	1.36	4653300	4623249 
GNM016812675	Ponticoccus sp. SC2-98	99.29	1.36	4653486	4623434 
GNM016812375	Ponticoccus sp. SC6-64	99.29	1.36	4656068	4625999 
GNM016812355	Ponticoccus sp. SC6-8	99.29	1.36	4656393	4626322 
GNM000259095	Citreicella sp. 357	99.39	0	4598615	4626839 
GNM016812445	Ponticoccus sp. SC6-66	99.29	1.36	4657565	4627486 
GNM004358185	Ruegeria sp. 318-1	99.69	1.07	4663068	4627896 
GNM000220565	Oceanicola sp. S124	99.54	0.92	4649474	4628184 
GNM000473145	Leisingera daeponensis DSM 23529	99.69	0.61	4642596	4628710 
GNM016812395	Ponticoccus sp. SC6-65	99.29	1.36	4658892	4628805 
GNM016812615	Ponticoccus sp. SC6-31	99.29	1.36	4659235	4629146 
GNM016812475	Ponticoccus sp. SC6-49	99.29	1.36	4659317	4629227 
GNM019904295	Ruegeria sp. SCSIO 43209  strain=SCSIO 43209	99.25	0.16	4602224	4629538 
GNM016812575	Ponticoccus sp. SC6-33	99.29	1.36	4659839	4629746 
GNM016812555	Ponticoccus sp. SC6-36	99.29	1.36	4660165	4630070 
GNM005938225	Marivita sp. CAU 1492	99.68	0.26	4628000	4630778 
GNM017792445	Maritimibacter sp. ih11	99.39	1.57	4675434	4630977 
GNM003003355	Donghicola tyrosinivorans DSM 100212	100	1.22	4687719	4631218 
GNM004348975	Sulfitobacter sp. S4J41	99.39	0.15	4610588	4631895 
GNM001458295	Ruegeria denitrificans CECT 5091	99.69	0.05	4620120	4632164 
GNM004000255	Nioella ostreopsis Z7-4	99.62	0.46	4635959	4632253 
GNM016812405	Ponticoccus sp. SC6-56	99.29	1.36	4663755	4633636 
GNM013034685	HKCCC1264	99.25	0.11	4603984	4633639 
GNM016812295	Ponticoccus sp. SC6-7	99.29	1.36	4664289	4634167 
GNM016812535	Ponticoccus sp. SC6-38	99.29	1.36	4664461	4634338 
GNM013032155	HKCCD9079	98.99	0.32	4602885	4634866 
GNM000511355	Leisingera methylohalidivorans MB2	100	0.31	4650996	4636622 
GNM016812435	Ponticoccus sp. SC6-60	99.29	1.36	4667386	4637244 
GNM008930655	Salipiger aestuarii AD8	99.39	0.31	4623744	4637657 
GNM013033775	HKCCC2131	99.57	0.02	4619760	4638779 
GNM001730095	Rhodobacteraceae bacterium (ex Bugula neritina AB1) AB1-7	99.85	0.84	4671673	4639659 
GNM900312795	Ruegeria sp. AU67	99.69	0	4626214	4640600 
GNM013030265	HKCCD8929-2	99.57	0	4621154	4641111 
GNM913062885	uncultured Rhodobacterales bacterium SRR3580189_bin.20_MetaBAT_v2.12.1_MAG	97.34	0.83	4557108	4642058 
GNM017743975	Ruegeria sp. R14_0	99.57	0.75	4659537	4644674 
GNM013111185	HKCCD7303	99.57	0	4624889	4644862 
GNM013032375	HKCCD7217	99.25	0.32	4626355	4646334 
GNM013033505	HKCCA6948	99.57	0.43	4646721	4646721 
GNM020905695	Pseudosulfitobacter pseudonitzschiae  strain=TT37-69	99.36	0.02	4626213	4655074 
GNM013033845	HKCCC1043	99.57	0.02	4636540	4655628 
GNM013032045	HKCCD9110	98.99	0.32	4624997	4657131 
GNM013033355	HKCCA6521	99.57	0.05	4639486	4657183 
GNM013031085	HKCCD9203	98.99	0.32	4625281	4657417 
GNM013031285	HKCCD5879	99.57	0.05	4639903	4657602 
GNM009363615	Ruegeria sp. THAF33	99.47	0	4632958	4657644 
GNM900537075	Tropicibacter sp. Alg240-R139	99.47	0.48	4655854	4658183 
GNM000688295	Pseudooceanicola nanhaiensis DSM 18065	100	0	4659730	4659730 
GNM017743755	Shimia sp. R9_3	99.09	0.54	4643978	4661225 
GNM013034445	HKCCC2117	99.57	0.05	4649198	4666932 
GNM020906175	Pseudosulfitobacter pseudonitzschiae  strain=SC1-15	99.36	0.02	4638563	4667502 
GNM013032955	HKCCA0806	98.94	0.43	4640283	4669702 
GNM014645095	Pseudooceanicola nanhaiensis CGMCC 1.6293	99.4	0.3	4656061	4670071 
GNM003259905	Salipiger aestuarii DSM 22011	99.39	0.31	4658697	4672715 
GNM013034775	HKCCC1208	99.25	0.75	4672907	4672907 
GNM013035375	HKCCC1288	99.57	0.45	4677947	4677012 
GNM002892225	Phaeobacter inhibens P83	99.39	0	4648923	4677455 
GNM000429365	Pseudodonghicola xiamenensis DSM 18339	99.69	1.38	4728486	4678427 
GNM902498815	Roseovarius sp. EC-HK134 RV134	99.24	0.92	4686006	4678520 
GNM000813925	Leisingera sp. ANG-S5	99.62	0	4660851	4678630 
GNM902498755	Roseovarius sp. EC-SD190 RV420	99.24	0.92	4686682	4679195 
GNM013034005	HKCCA5794	99.25	0.32	4659247	4679368 
GNM000152965	Roseobacter sp. MED193	99.54	0.31	4674070	4681092 
GNM013034255	HKCCA4748	99.47	0	4657289	4682104 
GNM900574125	Epibacterium mobile ERS2740610	100	0.61	4712067	4683498 
GNM001681795	Epibacterium mobile S1611	99.08	0.31	4656378	4684956 
GNM001681635	Epibacterium mobile G930	99.08	0.31	4657305	4685889 
GNM001548075	Rhodovulum sulfidophilum DSM 2351	99.62	1.38	4732772	4685913 
GNM001681755	Epibacterium mobile S1358	99.08	0.31	4657703	4686289 
GNM001681305	Epibacterium mobile F2587	99.08	0.31	4658611	4687203 
GNM001681265	Epibacterium mobile F2459	99.08	0.31	4659383	4687980 
GNM001681825	Epibacterium mobile S1847	99.08	0.31	4659629	4688227 
GNM013033965	HKCCA5752	99.25	0.43	4673414	4688417 
GNM013031055	HKCCD9203-2	98.99	0	4641812	4689173 
GNM018608025	Rhodobacteraceae bacterium HE327_NSB056	96.75	2.24	4642466	4689833 
GNM009697225	Rhodobacteraceae bacterium 2CG4	98.8	0	4633797	4690078 
GNM013033285	HKCCA6631	99.57	0.05	4673682	4691510 
GNM003003215	Epibacterium scottomollicae DSM 25328	99.62	0	4677362	4695204 
GNM013033205	HKCCA0208	98.99	0.32	4663291	4695691 
GNM019392295	Roseovarius mucosus  strain=Rose1	99.3	2.5	4780826	4696293 
GNM000813985	Ruegeria sp. ANG-R	99.39	0.35	4684550	4696762 
GNM003058085	Yoonia sediminilitoris DSM 29955	99.39	0	4668162	4696813 
GNM003337495	Yoonia sediminilitoris CECT 8284	99.39	0	4668516	4697169 
GNM001886735	Sulfitobacter sp. AM1-D1	99.54	0.2	4691010	4703238 
GNM2574179734	Ponticoccus litoralis DSM 18986	99.55	1.48	4751756	4703312 
GNM013110875	HKCCD4332	99.57	0.05	4687691	4705572 
GNM900172225	Ruegeria litorea CECT 7639	99.39	0.31	4691634	4705751 
GNM013110755	HKCCD7318	99.57	0.11	4692644	4707709 
GNM013034475	HKCCA6837	99.41	0	4681806	4709593 
GNM001294455	Phaeobacter sp. 11ANDIMAR09	99.69	0.31	4709832	4709832 
GNM000161815	Ruegeria sp. TrichCH4B	99.24	0.31	4689084	4710280 
GNM002706905	Pseudooceanicola sp. SAT54	98.48	2.98	4779610	4710832 
GNM013034645	HKCCC2121	99.57	0.05	4692993	4710894 
GNM2517487002	Loktanella sp. SE62	96.96	0.3	4581948	4711030 
GNM013033315	HKCCA6670	99.57	0.05	4693631	4711535 
GNM017743995	Ruegeria sp. R13_0	99.15	0.32	4687149	4712123 
GNM013032275	HKCCD7314	99.47	0	4687261	4712236 
GNM013033305	HKCCA6666	99.57	0.05	4694422	4712329 
GNM020905975	Pseudosulfitobacter pseudonitzschiae  strain=SC1-67	99.36	0.02	4684992	4714220 
GNM003340555	Jannaschia sp. 12N15	99.08	1.22	4729406	4715260 
GNM020905715	Pseudosulfitobacter pseudonitzschiae  strain=TT37-68	99.36	0.02	4686063	4715298 
GNM013034825	HKCCA6346	99.57	0.15	4702474	4715678 
GNM013035625	HKCCA5739	99.57	0.45	4717459	4716516 
GNM000192745		100	0	4718963	4718963 
GNM017872615	HKCCE4150	99.57	0.04	4703810	4722227 
GNM021405555	Ruegeria pomeroyi  strain=SZCCDBB064	99.68	0.16	4715961	4723519 
GNM002892145	Phaeobacter inhibens P80	99.39	0	4695825	4724645 
GNM019654895	Roseobacter sp. OBYS 0001  strain=OBYS 0001	99.25	0.43	4710781	4725904 
GNM900184895	Flavimaricola marinus CECT 8899	99.54	1.83	4792571	4727800 
GNM013110855	HKCCD4884	99.89	0.05	4725248	4728085 
GNM013110885	HKCCD4318-2	99.57	0.05	4712344	4730319 
GNM014651375	Tateyamaria omphalii KCTC 12333	99.57	0.74	4747451	4732779 
GNM013110915	HKCCD4318	99.57	0.05	4715554	4733541 
GNM016901225	Actibacterium sp. 188UL27-1	98.79	0.3	4690610	4733687 
GNM019966515	Roseovarius aestuarii  strain=KCTC 22174	99.49	0.85	4755878	4739763 
GNM000620505	Sulfitobacter sp. 20_GPM-1509m	100	0	4740410	4740410 
GNM013032485	HKCCD6401	99.47	0	4716149	4741278 
GNM900106635	Epibacterium mobile DSM 23403	99.08	0.31	4713652	4742582 
GNM020171625	Salipiger bermudensis  strain=AmN7-7	99.7	0.3	4742684	4742684 
GNM003014475	Shimia abyssi DSM 100673	99.69	0	4732601	4747318 
GNM020906335	Pseudosulfitobacter pseudonitzschiae  strain=MC52-70	99.36	0.02	4718209	4747644 
GNM013032675	HKCCD7021-2	99.25	0.45	4733587	4747830 
GNM017813235	Sagittula sp. M10.9X	99.7	1.27	4794534	4748474 
GNM001681715	Epibacterium mobile NBRC 101030	99.08	0.31	4720655	4749628 
GNM001681815	Epibacterium mobile S1689	99.69	1.07	4786794	4750689 
GNM013033395	HKCCA6064	99.25	0.45	4737372	4751627 
GNM013032625	HKCCD7021	99.25	0.45	4737596	4751852 
GNM013033445	HKCCA6041	99.25	0.45	4737751	4752007 
